,workflowId,time0,coldState_groupId,coldState_fixedStartTime
17,wflow_sbm_sava_20200720,23/08/2022 00:00:00,,
18,wflow_sbm_sava_20200720,28/08/2022 00:00:00,,
19,wflow_sbm_sava_20200720,02/09/2022 00:00:00,,
20,wflow_sbm_sava_20200720,07/09/2022 00:00:00,,
21,wflow_sbm_sava_20200720,12/09/2022 00:00:00,,
22,wflow_sbm_sava_20200720,17/09/2022 00:00:00,,
0,wflow_sbm_whitenile_20211020,30/05/2022 00:00:00,20220525.0,25/05/2022 00:00:00
1,wflow_sbm_whitenile_20211020,04/06/2022 00:00:00,,
2,wflow_sbm_whitenile_20211020,09/06/2022 00:00:00,,
3,wflow_sbm_whitenile_20211020,14/06/2022 00:00:00,,
4,wflow_sbm_whitenile_20211020,19/06/2022 00:00:00,,
5,wflow_sbm_whitenile_20211020,24/06/2022 00:00:00,,
6,wflow_sbm_whitenile_20211020,29/06/2022 00:00:00,,
7,wflow_sbm_whitenile_20211020,04/07/2022 00:00:00,,
8,wflow_sbm_whitenile_20211020,09/07/2022 00:00:00,,
9,wflow_sbm_whitenile_20211020,14/07/2022 00:00:00,,
10,wflow_sbm_whitenile_20211020,19/07/2022 00:00:00,,
11,wflow_sbm_whitenile_20211020,24/07/2022 00:00:00,,
12,wflow_sbm_whitenile_20211020,29/07/2022 00:00:00,,
13,wflow_sbm_whitenile_20211020,03/08/2022 00:00:00,,
14,wflow_sbm_whitenile_20211020,08/08/2022 00:00:00,,
15,wflow_sbm_whitenile_20211020,13/08/2022 00:00:00,,
16,wflow_sbm_whitenile_20211020,18/08/2022 00:00:00,,
17,wflow_sbm_whitenile_20211020,23/08/2022 00:00:00,,
18,wflow_sbm_whitenile_20211020,28/08/2022 00:00:00,,
19,wflow_sbm_whitenile_20211020,02/09/2022 00:00:00,,
20,wflow_sbm_whitenile_20211020,07/09/2022 00:00:00,,
21,wflow_sbm_whitenile_20211020,12/09/2022 00:00:00,,
22,wflow_sbm_whitenile_20211020,17/09/2022 00:00:00,,
